,proto,rate,sttl,sload,dload,smean,dmean,ct_flw_http_mthd,is_sm_ips_ports,attack_cat
47911,20,111111.1072,254,9428.090369,0,100,0,0,0,1
47912,53,111111.1072,254,9428.090369,0,100,0,0,0,1
47913,12,111111.1072,254,9428.090369,0,100,0,0,0,1
47914,128,333333.3215,254,16329.93129,0,100,0,0,0,1
47915,87,125000.0003,254,10000,0,100,0,0,0,1
47916,126,200000.0051,254,12649.11064,0,100,0,0,0,1
47917,72,125000.0003,254,10000,0,100,0,0,0,1
47918,83,200000.0051,254,12649.11064,0,100,0,0,0,1
47919,94,125000.0003,254,10000,0,100,0,0,0,1
47920,15,500000.0013,254,20000,0,100,0,0,0,1
47921,110,125000.0003,254,10000,0,100,0,0,0,1
47922,60,333333.3215,254,16329.93129,0,100,0,0,0,1
47923,131,111111.1072,254,9428.090369,0,100,0,0,0,1
47924,44,111111.1072,254,9428.090369,0,100,0,0,0,1
47925,120,250000.0006,254,14142.13562,0,100,0,0,0,1
47926,120,111111.1072,254,9428.090369,0,100,0,0,0,1
47927,120,200000.0051,254,12649.11064,0,100,0,0,0,1
47928,120,125000.0003,254,10000,0,100,0,0,0,1
47929,68,333333.3215,254,16329.93129,0,100,0,0,0,1
47930,120,125000.0003,254,10000,0,100,0,0,0,1
47931,0,111111.1072,254,9428.090369,0,100,0,0,0,1
47932,120,111111.1072,254,9428.090369,0,100,0,0,0,0
47933,56,111111.1072,254,9428.090369,0,100,0,0,0,1
47934,40,333333.3215,254,16329.93129,0,100,0,0,0,1
47935,9,333333.3215,254,16329.93129,0,100,0,0,0,1
47936,120,111111.1072,254,9428.090369,0,100,0,0,0,0
47937,111,142857.1409,254,10690.44957,0,100,0,0,0,1
47938,120,125000.0003,254,10000,0,100,0,0,0,0
47939,120,125000.0003,254,10000,0,100,0,0,0,1
47940,120,125000.0003,254,10000,0,100,0,0,0,0
47941,120,125000.0003,254,10000,0,100,0,0,0,0
47942,120,125000.0003,254,10000,0,100,0,0,0,0
47943,62,111111.1072,254,9428.090369,0,100,0,0,0,1
47944,120,125000.0003,254,10000,0,100,0,0,0,0
47945,16,125000.0003,254,10000,0,100,0,0,0,1
47946,120,125000.0003,254,10000,0,100,0,0,0,0
47947,120,142857.1409,254,10690.44957,0,100,0,0,0,0
47948,90,111111.1072,254,9428.090369,0,100,0,0,0,1
47949,120,125000.0003,254,10000,0,100,0,0,0,1
47950,127,125000.0003,254,10000,0,100,0,0,0,1
47951,120,111111.1072,254,9428.090369,0,100,0,0,0,0
47952,120,333333.3215,254,16329.93129,0,100,0,0,0,1
47953,120,111111.1072,254,9428.090369,0,100,0,0,0,0
47954,120,111111.1072,254,9428.090369,0,100,0,0,0,1
47955,124,125000.0003,254,10000,0,100,0,0,0,1
47956,120,125000.0003,254,10000,0,100,0,0,0,1
47957,120,333333.3215,254,16329.93129,0,100,0,0,0,1
47958,36,111111.1072,254,9428.090369,0,100,0,0,0,1
47959,22,333333.3215,254,16329.93129,0,100,0,0,0,1
47960,24,333333.3215,254,16329.93129,0,100,0,0,0,1
47961,120,166666.6608,254,11547.00515,0,100,0,0,0,1
47962,120,333333.3215,254,16329.93129,0,100,0,0,0,0
47963,7,111111.1072,254,9428.090369,0,100,0,0,0,1
47964,120,111111.1072,254,9428.090369,0,100,0,0,0,0
47965,120,333333.3215,254,16329.93129,0,100,0,0,0,1
47966,120,1000000.003,254,28284.27125,0,100,0,0,0,0
47967,120,250000.0006,254,14142.13562,0,100,0,0,0,0
47968,31,333333.3215,254,16329.93129,0,100,0,0,0,1
47969,82,125000.0003,254,10000,0,100,0,0,0,1
47970,120,125000.0003,254,10000,0,100,0,0,0,0
47971,120,166666.6608,254,11547.00515,0,100,0,0,0,0
47972,120,333333.3215,254,16329.93129,0,100,0,0,0,0
47973,120,166666.6608,254,11547.00515,0,100,0,0,0,1
47974,120,125000.0003,254,10000,0,100,0,0,0,0
47975,100,333333.3215,254,16329.93129,0,100,0,0,0,1
47976,79,125000.0003,254,10000,0,100,0,0,0,1
47977,120,333333.3215,254,16329.93129,0,100,0,0,0,1
47978,120,125000.0003,254,10000,0,100,0,0,0,0
47979,120,125000.0003,254,10000,0,100,0,0,0,0
47980,39,333333.3215,254,16329.93129,0,100,0,0,0,1
47981,120,125000.0003,254,10000,0,100,0,0,0,1
47982,132,125000.0003,254,10000,0,100,0,0,0,1
47983,120,125000.0003,254,10000,0,100,0,0,0,1
47984,120,125000.0003,254,10000,0,100,0,0,0,1
47985,120,125000.0003,254,10000,0,100,0,0,0,0
47986,120,333333.3215,254,16329.93129,0,100,0,0,0,1
47987,92,0.416642,254,18.25687142,0,100,0,0,0,1
47988,120,333333.3215,254,16329.93129,0,100,0,0,0,1
47989,71,125000.0003,254,10000,0,100,0,0,0,1
47990,74,142857.1409,254,10690.44957,0,100,0,0,0,1
47991,120,142857.1409,254,10690.44957,0,100,0,0,0,0
47992,120,111111.1072,254,9428.090369,0,100,0,0,0,0
47993,120,111111.1072,254,9428.090369,0,100,0,0,0,1
47994,28,125000.0003,254,10000,0,100,0,0,0,1
47995,120,125000.0003,254,10000,0,100,0,0,0,1
47996,120,333333.3215,254,16329.93129,0,100,0,0,0,0
47997,120,125000.0003,254,10000,0,100,0,0,0,1
47998,81,125000.0003,254,10000,0,100,0,0,0,1
47999,120,125000.0003,254,10000,0,100,0,0,0,1
48000,120,125000.0003,254,10000,0,100,0,0,0,1
48001,120,125000.0003,254,10000,0,100,0,0,0,1
48002,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48003,120,200000.0051,254,12649.11064,0,100,0,0,0,1
48004,120,125000.0003,254,10000,0,100,0,0,0,1
48005,120,125000.0003,254,10000,0,100,0,0,0,0
48006,120,125000.0003,254,10000,0,100,0,0,0,1
48007,120,333333.3215,254,16329.93129,0,100,0,0,0,0
48008,120,1000000.003,254,28284.27125,0,100,0,0,0,1
48009,120,125000.0003,254,10000,0,100,0,0,0,0
48010,120,333333.3215,254,16329.93129,0,100,0,0,0,0
48011,120,125000.0003,254,10000,0,100,0,0,0,0
48012,120,125000.0003,254,10000,0,100,0,0,0,0
48013,120,333333.3215,254,16329.93129,0,100,0,0,0,0
48014,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48015,120,200000.0051,254,12649.11064,0,100,0,0,0,1
48016,113,52.963483,62,125.9957178,6327.370605,62,45,1,0,1
48018,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48019,120,166666.6608,254,11547.00515,0,100,0,0,0,1
48020,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48021,120,200000.0051,254,12649.11064,0,100,0,0,0,1
48022,120,125000.0003,254,10000,0,100,0,0,0,1
48024,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48025,120,333333.3215,254,16329.93129,0,100,0,0,0,1
48026,120,125000.0003,254,10000,0,100,0,0,0,1
48028,120,333333.3215,254,16329.93129,0,100,0,0,0,1
48029,46,125000.0003,254,10000,0,100,0,0,0,1
48030,54,125000.0003,254,10000,0,100,0,0,0,1
48031,93,125000.0003,254,10000,0,100,0,0,0,1
48032,55,200000.0051,254,12649.11064,0,100,0,0,0,1
48034,120,250000.0006,254,14142.13562,0,100,0,0,0,1
48035,104,500000.0013,254,20000,0,100,0,0,0,1
